rel,path,N_per_p,n_items,method,coverage,coverage_corrected,mean_se,mean_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rb,rb_corrected,rmse,rmse_corrected,sb,sb_corrected,type1,type1_corrected,N,N_lab,path_lab,rel_lab
0.7,0,25,10,rel,0.939,0.94,0.08440501360730741,0.08443075926358613,0.061000000000000054,0.06000000000000005,-0.008693149565655811,-0.008390775993906141,0.0018332647609262968,0.0018332647609262968,0.08512235389977599,0.08512235389977599,0.02153104227458808,0.02153104227458808,0.061,0.06,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,tspa,0.938,0.939,0.08430905761677497,0.08435637021084727,0.062000000000000055,0.061000000000000054,-0.009820093428451027,-0.009264423832532676,0.0018332656687456669,0.0018332656687456669,0.08512235176245052,0.08512235176245052,0.02153105348242239,0.02153105348242239,0.062,0.061,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,gsam,0.049,NA,0.07235045082801236,NA,0.951,NA,-0.3714120671794964,NA,0.28455765167394076,NA,0.3069329107663301,NA,2.4722652587083167,NA,0.951,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,joint,0.041,NA,0.046155263264620376,NA,0.959,NA,-0.60152912092047806,NA,0.28652630458782596,NA,0.30903190290346394,NA,2.473659132089385,NA,0.959,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,lsam,0.049,NA,0.07235045245714129,NA,0.951,NA,-0.3714120656396629,NA,0.2845576590142449,NA,0.3069329184368285,NA,2.4722652728693775,NA,0.951,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,rel,0.959,0.959,0.056323483796161374,0.05632787423428468,0.041000000000000036,0.041000000000000036,0.013701557748478477,0.013780576190961735,-0.0011525750060711463,-0.0011525750060711463,0.05554636625168469,0.05554636625168469,-0.020743870945637618,-0.020743870945637618,0.041,0.041,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,tspa,0.959,0.959,0.0562986444302541,0.05630561343121337,0.041000000000000036,0.041000000000000036,0.013254415965395783,0.013379842981770862,-0.0011525757197426505,-0.0011525757197426505,0.05554637101324806,0.05554637101324806,-0.020743882016742623,-0.020743882016742623,0.041,0.041,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,gsam,0,NA,0.06656116196853325,NA,1,NA,-0.5230964505937947,NA,0.531021223093719,NA,0.549038877226182,NA,3.8047098129558017,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,joint,0,NA,0.04216290132486476,NA,1,NA,-0.698163048095212,NA,0.5312143960148277,NA,0.5492557398624842,NA,3.8028724082728393,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,lsam,0,NA,0.06656116196944142,NA,1,NA,-0.5230964513213929,NA,0.5310212231832626,NA,0.5490388773673467,NA,3.8047098077407226,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,rel,0.966,0.966,0.061197755882158665,0.061210898063012185,0.03400000000000003,0.03400000000000003,0.06310018208289825,0.06332848220039344,0.0010495099392117443,0.0010495099392117443,0.05754615176019632,0.05754615176019632,0.018231619630338328,0.018231619630338328,0.034,0.034,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,tspa,0.966,0.966,0.06116530425249419,0.06118994310262274,0.03400000000000003,0.03400000000000003,0.06253633388441249,0.06296434897902636,0.0010495098617463324,0.0010495098617463324,0.05754615787289619,0.05754615787289619,0.0182316163469425,0.0182316163469425,0.034,0.034,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,10,gsam,0,NA,0.05459462868125788,NA,1,NA,-0.5904932234304233,NA,0.45601569427101224,NA,0.4750854992693191,NA,3.4205107999968396,NA,1,NA,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.7
0.7,0,100,10,joint,0,NA,0.030413332454585593,NA,1,NA,-0.772553870757584,NA,0.4573123664242776,NA,0.47644187523380926,NA,3.420010870338169,NA,1,NA,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.7
0.7,0,100,10,lsam,0,NA,0.054594628787719444,NA,1,NA,-0.590493219875967,NA,0.4560156949575921,NA,0.4750854996768189,NA,3.420510828166168,NA,1,NA,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.7
